,Mfg_Year,KM,CC,Doors,Gears,Quarterly_Tax,Weight,Guarantee_Period,Airco,Automatic_airco,CD_Player,Central_Lock,Radio,Metallic_Rim,Radio_cassette,Diesel,Petrol,Black,Blue,Green,Grey,Red,Silver,Violet,White,Yellow
0,2002,46986,2000,3,5,210,1165,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,2002,72937,2000,3,5,210,1165,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,2002,38500,2000,3,5,210,1170,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,2002,31461,1800,3,6,100,1185,12,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4,2002,32189,1800,3,6,100,1185,3,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
5,2002,23000,1800,3,6,100,1185,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
6,2002,18739,1800,3,6,100,1185,3,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
7,2002,34000,1800,3,5,100,1185,3,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8,2002,21716,1600,3,5,85,1105,18,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
9,2002,64359,1600,3,5,85,1105,3,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10,2002,67660,1600,3,5,85,1105,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,2002,43905,1600,3,5,100,1170,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,2002,56349,1600,3,5,85,1120,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
13,2002,32220,1600,3,5,85,1120,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,2002,28450,1600,3,5,85,1120,3,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
15,2002,34545,1600,3,5,85,1120,3,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
16,2002,41415,1600,3,5,85,1120,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
17,2002,11090,1600,3,5,85,1120,3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2002,9750,1400,3,5,19,1100,12,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
