Model year,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Price
2004,Used,Automatic,Saloon,Petrol,1500,98000,3475000
1997,Used,Automatic,Saloon,Diesel,1998,167000,1890000
2007,Used,Automatic,Saloon,Petrol,1600,136000,3150000
2003,Used,Manual,Saloon,Petrol,1500,89300,2775000
1989,Used,Manual,Saloon,Petrol,1300,235000,650000
2002,Used,Manual,Saloon,Petrol,1300,20000,2325000
1997,Used,Manual,Saloon,Petrol,1330,118520,2000000
2001,Used,Automatic,Saloon,Petrol,1500,135000,2995000
2008,Used,Automatic,Saloon,Petrol,1500,107000,3175000
2008,Used,Automatic,Saloon,Petrol,1600,82000,3550000
1991,Used,Manual,Station wagon,Petrol,1900,120000,1075000
2004,Used,Automatic,Saloon,Petrol,1500,190000,3375000
2005,Used,Automatic,Saloon,Petrol,1500,135000,3250000
1987,Used,Manual,Station wagon,Petrol,1300,250000,475000
1987,Used,Manual,Station wagon,Petrol,1300,165000,875000
2003,Used,Automatic,Saloon,Petrol,1500,125000,3375000
2008,Used,Manual,Saloon,Diesel,2000,150000,3250000
1993,Used,Manual,Saloon,Petrol,1490,163989,1225000
1998,Used,Automatic,Hatchback,Petrol,1300,137000,1385000
2001,Used,Automatic,Saloon,Petrol,1500,165000,2775000
1997,Used,Automatic,Saloon,Diesel,1970,112525,1825000
2003,Used,Automatic,Saloon,Petrol,1500,110000,3275000
2001,Used,Automatic,Saloon,Petrol,1500,165000,2775000
2002,Used,Automatic,Saloon,Petrol,1500,102000,2875000
1998,Used,Automatic,Saloon,Petrol,1500,170000,1725000
1994,Used,Manual,Station wagon,Petrol,1300,255000,1325000
1997,Used,Automatic,Saloon,Petrol,1500,154000,2030000
2008,Used,Automatic,Saloon,Petrol,1598,103998,3290000
2004,Used,Automatic,Saloon,Petrol,1500,110000,3150000
1984,Used,Manual,Station wagon,Petrol,1300,230000,375000
2007,Used,Automatic,Saloon,Petrol,1598,136000,3375000
1991,Used,Manual,Saloon,Petrol,1500,220000,1210000
1997,Used,Automatic,Saloon,Petrol,1330,116000,1695000
1996,Used,Automatic,Saloon,Petrol,1500,135000,1850000
2008,Used,Manual,Saloon,Petrol,1600,128000,2950000
1973,Used,Manual,Saloon,Petrol,1200,85000,425000
2003,Used,Automatic,Saloon,Petrol,1500,140400,3285000
2008,Used,Automatic,Saloon,Petrol,1590,103000,3350000
2007,Used,Automatic,Saloon,Petrol,1500,130000,3000000
2000,Used,Automatic,Saloon,Petrol,1500,96000,1795000
1999,Used,Automatic,Saloon,Petrol,1500,172500,2350000
1984,Used,Manual,Hatchback,Diesel,1500,253642,525000
1976,Used,Manual,Saloon,Petrol,1200,51369,490000
1993,Used,Manual,Saloon,Petrol,1330,250000,1380000
2004,Used,Manual,Saloon,Petrol,1300,135000,2490000
2002,Used,Manual,Saloon,Petrol,1500,98000,3100000
1986,Used,Manual,Saloon,Petrol,1290,125000,650000
1996,Used,Automatic,Saloon,Petrol,1300,125000,1550000
1996,Used,Automatic,Saloon,Diesel,2000,190000,1675000
2000,Used,Automatic,Saloon,Petrol,1500,147000,2245000
1992,Used,Manual,Saloon,Petrol,1300,180000,1295000
1996,Used,Automatic,Saloon,Diesel,1970,141553,1750000
1997,Used,Automatic,Saloon,Diesel,2000,224000,1875000
2008,Used,Automatic,Saloon,Petrol,1600,107000,3075000
2000,Used,Automatic,Saloon,Petrol,1590,187000,2790000
1992,Used,Manual,Station wagon,Diesel,2000,244000,1250000
1997,Used,Automatic,Saloon,Diesel,2000,245000,1875000
1997,Used,Automatic,Station wagon,Diesel,2000,79000,1650000
2008,Used,Automatic,Saloon,Petrol,1600,89150,3265000
1996,Used,Automatic,Station wagon,Diesel,1970,157146,1525000
2008,Used,Automatic,Saloon,Petrol,1600,95000,3275000
2007,Used,Automatic,Saloon,Petrol,1590,87000,3200000
2001,Used,Automatic,Hatchback,Petrol,1300,75000,1590000
1999,Used,Automatic,Saloon,Petrol,1330,115800,2085000
1989,Used,Manual,Station wagon,Petrol,1300,200000,860000
1985,Used,Manual,Hatchback,Petrol,1500,75000,665000
1996,Used,Automatic,Hatchback,Petrol,1350,220000,1590000
1997,Used,Manual,Station wagon,Diesel,2000,258000,1590000
2004,Used,Automatic,Saloon,Petrol,1500,139000,3600000
1991,Used,Manual,Saloon,Diesel,1800,150000,1250000
2018,Used,Automatic,Hatchback,Petrol,1190,1800,6975000
2004,Used,Automatic,Saloon,Petrol,1500,96000,2825000
2003,Used,Automatic,Saloon,Petrol,1500,138000,3295000
1978,Used,Manual,Saloon,Petrol,1290,87000,525000
1986,Used,Manual,Station wagon,Petrol,1300,178000,590000
2002,Used,Automatic,Saloon,Petrol,1500,150000,3125000
2007,Used,Automatic,Saloon,Petrol,1598,177579,3390000
1995,Used,Automatic,Saloon,Petrol,1300,180000,1650000
1985,Used,Manual,Saloon,Petrol,1290,120000,675000
1987,Used,Manual,Station wagon,Petrol,1500,203691,1075000
2005,Used,Automatic,Saloon,Petrol,1499,198000,3050000
1992,Used,Manual,Coupé/Sports,Petrol,1600,128645,1745000
1996,Used,Manual,Station wagon,Diesel,1080,200000,1525000
1996,Used,Automatic,Saloon,Diesel,1970,90000,1575000
1987,Used,Manual,Hatchback,Petrol,1300,235000,685000
1996,Used,Automatic,Station wagon,Petrol,1500,200000,1350000
2003,Used,Automatic,Saloon,Petrol,1500,138000,3295000
1997,Used,Automatic,Saloon,Petrol,1500,30000,1800000
2000,Used,Automatic,Saloon,Petrol,1500,185000,2690000
2004,Used,Manual,Saloon,Petrol,1500,171000,2850000
2002,Used,Automatic,Saloon,Petrol,1500,180000,3000000
1997,Used,Automatic,Saloon,Diesel,2000,146000,2025000
1996,Used,Automatic,Saloon,Diesel,2000,97000,1900000
2003,Used,Automatic,Saloon,Petrol,1500,140000,3500000
1996,Used,Automatic,Saloon,Diesel,1800,200000,1650000
